symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SBUX,2018-06-04 00:00:00+00:00,57.07,57.2,56.8,57.1,7484072,51.8420121437,51.9601032875,51.5967459219,51.8692639461,7484072,0.0,1.0
SBUX,2018-06-05 00:00:00+00:00,55.68,56.7,55.28,56.69,18278843,50.579345298,51.5059065804,50.2159879324,51.4968226463,18278843,0.0,1.0
SBUX,2018-06-06 00:00:00+00:00,57.17,57.18,55.62,55.84,13709779,51.9328514851,51.9419354192,50.5248416932,50.7246882443,13709779,0.0,1.0
SBUX,2018-06-07 00:00:00+00:00,57.14,57.94,57.09,57.29,7919801,51.9055996827,52.6323144139,51.8601800119,52.0418586948,7919801,0.0,1.0
SBUX,2018-06-08 00:00:00+00:00,56.6,57.06,56.52,56.92,8433528,51.415067239,51.8329282095,51.3423957659,51.7057531315,8433528,0.0,1.0
SBUX,2018-06-11 00:00:00+00:00,56.48,56.74,56.27,56.61,7181724,51.3060600293,51.542242317,51.1152974124,51.4241511732,7181724,0.0,1.0
SBUX,2018-06-12 00:00:00+00:00,56.48,56.9,56.3,56.6,8249711,51.3060600293,51.6875852633,51.1425492148,51.415067239,8249711,0.0,1.0
SBUX,2018-06-13 00:00:00+00:00,56.21,56.7,56.18,56.51,8283213,51.0607938075,51.5059065804,51.0335420051,51.3333118318,8283213,0.0,1.0
SBUX,2018-06-14 00:00:00+00:00,57.02,57.07,56.31,56.46,11049707,51.796592473,51.8420121437,51.1516331489,51.2878921611,11049707,0.0,1.0
SBUX,2018-06-15 00:00:00+00:00,57.11,57.21,56.46,57.04,12408270,51.8783478802,51.9691872216,51.2878921611,51.8147603412,12408270,0.0,1.0
SBUX,2018-06-18 00:00:00+00:00,57.22,57.32,56.11,56.77,9676910,51.9782711558,52.0691104972,50.9699544661,51.5694941194,9676910,0.0,1.0
SBUX,2018-06-19 00:00:00+00:00,57.43,57.5,56.34,56.65,9965474,52.1690337727,52.2326213117,51.1788849514,51.4604869097,9965474,0.0,1.0
SBUX,2018-06-20 00:00:00+00:00,52.22,55.01,51.58,54.83,62091071,47.4363040852,49.9707217106,46.8549323002,49.807210896,62091071,0.0,1.0
SBUX,2018-06-21 00:00:00+00:00,50.62,52.63,50.36,52.29,30722957,45.9828746226,47.808745385,45.7466923349,47.4998916242,30722957,0.0,1.0
SBUX,2018-06-22 00:00:00+00:00,51.24,51.72,50.82,51.0,24429564,46.5460785394,46.9821073781,46.1645533054,46.32806412,24429564,0.0,1.0
SBUX,2018-06-25 00:00:00+00:00,50.66,51.44,50.21,51.16,15578586,46.0192103592,46.7277572222,45.6104333228,46.4734070662,15578586,0.0,1.0
SBUX,2018-06-26 00:00:00+00:00,50.38,50.63,50.11,50.51,12930561,45.7648602032,45.9919585568,45.5195939814,45.8829513471,12930561,0.0,1.0
